,bbl,bbt,bbr,bbb,img,bbid,iou,mid,hlabel
87,378.41,187.39,428.0,218.22,1158.0,5.0,0.013098562006859583,2.0,Truck
88,478.29,184.01,512.0,216.98,1158.0,6.0,0.5088082687597802,1.0,Car
89,535.56,177.0,548.0,196.86,1158.0,7.0,0.2703148872626675,5.0,Car
90,794.92,171.12,870.61,230.0,2451.0,0.0,0.7620811813113041,7.0,Car
91,355.0,184.71,483.0,257.0,2451.0,1.0,0.5765726138115306,5.0,Car
92,1158.0,160.44,1236.0,198.87,2451.0,2.0,0.6426018435298791,1.0,Car
94,812.61,142.57,870.0,299.58,3997.0,0.0,0.7309421683751665,1.0,Pedestrian
97,601.0,177.17,654.0,229.7,4020.0,0.0,0.8161777380646663,1.0,Car
101,611.0,160.0,643.0,193.0,3029.0,0.0,0.477728098881031,4.0,Truck
102,272.14,182.25,346.0,225.72,3029.0,1.0,0.745208942161381,6.0,Car
110,642.93,147.0,726.0,229.35,5458.0,0.0,0.8513389687502836,2.0,Van
111,828.0,187.01,956.0,249.0,5458.0,1.0,0.6022259207273927,3.0,Car
113,545.54,141.07,576.0,178.58,5458.0,3.0,0.788307553170962,1.0,Van
114,599.0,163.0,625.78,190.0,2337.0,0.0,0.7943785080766094,3.0,Truck
115,44.0,198.84,170.0,252.0,2337.0,1.0,0.6315226514824768,1.0,Car
118,751.11,162.61,817.0,313.0,6151.0,0.0,0.7088173305129799,1.0,Pedestrian
119,712.0,155.37,756.0,301.47,520.0,0.0,0.6858139965841596,1.0,Pedestrian
120,0.0,184.46,238.0,334.0,3001.0,0.0,0.8356119705265487,4.0,Car
121,156.0,160.9,371.0,273.0,3001.0,1.0,0.8090691884153,5.0,Car
122,731.0,193.0,934.0,318.0,3001.0,2.0,0.8468141982191308,1.0,Car
123,666.13,178.53,744.0,239.0,3001.0,3.0,0.7881733166880893,2.0,Car
124,371.0,185.25,412.83,237.0,3001.0,4.0,0.1239389432823426,13.0,Car
125,315.0,181.72,423.0,241.64,3001.0,5.0,0.5379358060079471,7.0,Car
127,642.12,179.18,680.3,210.0,3001.0,7.0,0.6090126667812872,3.0,Car
128,445.26,176.0,511.0,212.86,3001.0,8.0,0.5795810959814972,8.0,Car
131,0.0,189.33,220.0,325.0,5470.0,0.0,0.9450124247505908,1.0,Car
132,378.59,178.8,423.0,206.38,5470.0,1.0,0.7533486287680877,2.0,Car
134,565.96,179.19,606.0,218.0,1616.0,0.0,0.7706023170549428,3.0,Car
135,144.0,180.21,445.01,364.0,1616.0,1.0,0.8293895920049648,4.0,Car
136,111.0,188.76,274.0,281.04,1616.0,2.0,0.5115370867754712,7.0,Car
137,0.0,189.0,80.0,259.0,1616.0,3.0,0.8775933431786765,6.0,Car
139,436.83,186.0,506.0,237.79,1616.0,5.0,0.6719929850237686,2.0,Car
140,398.59,182.72,444.0,217.04,1616.0,6.0,0.7160359736504925,1.0,Car
141,512.0,183.69,546.93,215.11,1616.0,7.0,0.672898943938566,5.0,Car
144,0.0,206.55,343.84,374.0,6179.0,0.0,0.9619087142475272,4.0,Car
145,311.0,122.0,513.16,305.0,6179.0,1.0,0.899224202044764,2.0,Van
146,779.59,177.0,1228.0,333.71,6179.0,2.0,0.8350282584256898,6.0,Car
148,680.0,164.74,820.0,245.0,6179.0,4.0,0.6472804583319857,7.0,Car
149,490.0,160.2,554.0,231.0,6179.0,5.0,0.6280560069831311,8.0,Car
151,641.45,175.99,679.0,210.0,6179.0,7.0,0.6647759238954114,5.0,Car
155,546.01,173.92,558.0,192.4,6179.0,11.0,0.051750077073271075,1.0,Van
156,696.62,177.91,846.09,278.0,7267.0,0.0,0.8194563230523433,2.0,Car
157,117.65,187.11,433.0,374.0,7267.0,1.0,0.8766064213084311,3.0,Car
158,645.28,177.85,685.0,214.17,7267.0,2.0,0.6856524939620504,4.0,Car
159,687.51,162.0,710.0,191.0,7267.0,3.0,0.4037392040727388,5.0,Car
160,592.02,175.19,624.0,207.0,508.0,0.0,0.8451691578215899,1.0,Car
164,530.92,164.0,597.0,221.47,1170.0,0.0,0.7117880922055204,7.0,Car
165,68.64,216.47,166.0,282.0,1170.0,1.0,0.6330252862018086,8.0,Car
166,1057.51,144.42,1233.0,260.09,1170.0,2.0,0.8495991312704144,4.0,Car
167,892.0,146.24,1176.18,233.16,1170.0,3.0,0.2821795108877706,3.0,Truck
168,593.0,161.74,629.0,196.0,1170.0,4.0,0.8418324722255878,10.0,Car
169,639.3,159.22,660.0,176.18,1170.0,5.0,0.5329324155619581,6.0,Car
171,741.59,96.22,1126.01,365.0,2479.0,0.0,0.8748315106760959,7.0,Van
172,378.04,174.57,494.91,265.0,2479.0,1.0,0.7915225385535073,2.0,Car
173,683.52,179.82,762.0,237.0,2479.0,2.0,0.9002070111283377,1.0,Car
174,487.0,176.26,538.0,210.0,2479.0,3.0,0.7536296627205719,4.0,Car
175,521.85,171.04,559.81,201.0,2479.0,4.0,0.5406003979583,5.0,Car
176,650.6,174.32,679.0,198.0,2479.0,5.0,0.3275660015450123,8.0,Car
180,68.34,174.12,148.0,222.12,5316.0,1.0,0.5735267648223479,6.0,Van
181,184.58,181.15,228.0,211.99,5316.0,2.0,0.7862821597755923,4.0,Car
182,221.83,183.54,300.0,223.0,5316.0,3.0,0.6841333897983225,3.0,Car
183,226.0,186.13,265.38,223.54,5316.0,4.0,0.25085230190647,7.0,Van
184,364.0,177.91,407.0,205.21,5316.0,5.0,0.7349419540478151,11.0,Car
185,325.74,178.02,373.0,204.85,5316.0,6.0,0.6440856251329894,2.0,Car
186,445.0,177.62,472.0,195.0,5316.0,7.0,0.6688471259713394,1.0,Car
191,340.47,194.88,497.15,289.0,4008.0,0.0,0.8410740911118021,2.0,Car
192,598.0,179.31,618.0,201.74,4008.0,1.0,0.6854035775744398,3.0,Car
193,9.0,175.11,95.47,233.0,3767.0,0.0,0.8218557605422049,7.0,Car
194,482.88,135.83,554.0,220.06,3767.0,1.0,0.8153227228080195,8.0,Truck
195,574.0,177.98,575.0,191.0,3767.0,2.0,0.01610482434732787,5.0,Car
196,375.24,180.97,403.0,195.0,3767.0,3.0,0.4685348739402788,6.0,Car
197,589.0,176.74,618.0,209.0,3767.0,4.0,0.6126225896738311,9.0,Car
200,567.87,178.85,577.0,191.0,5302.0,0.0,0.24423212834959235,1.0,Car
205,344.44,184.74,483.51,277.0,1164.0,0.0,0.857048222666057,4.0,Car
206,552.47,172.23,602.0,220.66,1164.0,1.0,0.8052271903540498,1.0,Car
207,531.19,173.0,554.0,204.0,1164.0,2.0,0.4179861180444431,2.0,Car
211,821.22,175.4,925.0,237.0,1602.0,0.0,0.7890938490159347,8.0,Car
213,222.59,191.27,285.73,223.0,1602.0,2.0,0.5544357858332613,4.0,Car
214,420.0,176.51,499.12,216.35,1602.0,3.0,0.6322429501641514,3.0,Car
216,173.0,184.55,198.16,204.0,1602.0,5.0,0.6271958043571313,1.0,Car
217,469.02,159.28,750.08,324.83,1602.0,6.0,0.7755689402273562,6.0,Van
218,335.81,195.87,460.0,259.0,1602.0,7.0,0.7665768073839585,7.0,Car
221,570.25,179.35,600.0,207.0,7273.0,0.0,0.7348553927154221,4.0,Car
222,5.0,193.0,166.0,304.0,7273.0,1.0,0.6924045311268673,8.0,Car
223,189.0,190.27,305.0,255.0,7273.0,2.0,0.7361524018257904,5.0,Car
224,304.0,190.42,427.0,267.11,7273.0,3.0,0.7526278987983096,7.0,Car
226,452.0,155.0,517.0,224.1,7273.0,5.0,0.8102534374977283,3.0,Van
227,520.0,183.52,538.08,205.0,7273.0,6.0,0.28373556402794586,9.0,Car
229,233.75,186.0,261.0,229.98,7273.0,8.0,0.10600209493123967,6.0,Car
231,420.0,179.0,456.0,212.71,3015.0,0.0,0.7281320098365863,5.0,Car
232,520.0,194.0,560.0,277.32,3015.0,1.0,0.5423232811730124,9.0,Misc
233,733.66,183.0,901.64,323.0,3015.0,2.0,0.8756652068572691,10.0,Car
234,604.0,186.05,717.0,275.0,3015.0,3.0,0.7090161793960231,1.0,Car
235,160.0,199.58,283.0,285.0,3015.0,4.0,0.7359962704019135,6.0,Car
236,232.72,188.75,323.0,262.08,3015.0,5.0,0.8415565351054045,8.0,Car
237,538.9,182.4,621.0,242.0,3015.0,6.0,0.7803804387333035,4.0,Car
240,494.0,188.42,531.0,223.95,3015.0,9.0,0.727742022342385,7.0,Car
244,639.0,132.31,692.0,197.0,5464.0,0.0,0.7520824482259325,5.0,Truck
245,155.0,180.3,223.0,216.59,5464.0,1.0,0.6121520309678892,1.0,Car
246,229.0,181.07,276.0,206.0,5464.0,2.0,0.5299591966109678,6.0,Car
247,303.0,180.34,340.0,202.0,5464.0,3.0,0.5399021813821258,3.0,Car
249,653.0,174.93,744.0,313.0,4949.0,0.0,0.651278972844913,2.0,Cyclist
250,181.0,168.48,209.0,257.0,4949.0,1.0,0.575686347377712,1.0,Pedestrian
252,589.63,177.15,618.0,204.0,4791.0,0.0,0.689700085047388,1.0,Car
256,591.06,168.74,615.29,188.0,1831.0,1.0,0.5517235590328621,3.0,Car
257,546.0,169.91,568.91,192.0,1831.0,2.0,0.5688448249118194,1.0,Car
258,329.77,169.91,398.34,200.0,1831.0,3.0,0.6948657386416427,5.0,Car
260,431.98,183.79,504.36,228.35,7298.0,0.0,0.7818794666666666,9.0,Car
262,571.0,178.78,601.21,196.0,7298.0,2.0,0.4979588343876111,4.0,Car
265,11.0,193.17,202.0,298.47,6186.0,1.0,0.739010171048981,8.0,Car
266,595.53,168.46,665.0,208.0,6186.0,2.0,0.5470845398043369,6.0,Car
267,646.0,172.69,800.0,237.79,6186.0,3.0,0.7605293649723178,7.0,Car
268,122.0,183.0,231.0,253.26,6186.0,4.0,0.47134147929279485,1.0,Car
269,190.0,184.52,305.0,240.59,6186.0,5.0,0.565912730421478,3.0,Car
270,295.0,178.82,384.0,218.0,6186.0,6.0,0.5762300565558212,2.0,Car
272,618.07,174.0,656.0,210.0,291.0,0.0,0.8676078395790884,1.0,Car
273,485.0,180.34,541.0,223.09,291.0,1.0,0.6350162102874489,2.0,Car
278,17.6,37.57,453.0,364.0,6838.0,0.0,0.8697182312329147,5.0,Truck
281,561.19,179.47,612.0,232.0,6838.0,3.0,0.7346842630895107,4.0,Car
283,864.0,183.0,875.31,222.0,6838.0,5.0,0.4243046767111745,3.0,Cyclist
285,548.0,185.52,572.86,204.0,3798.0,0.0,0.5674040284563595,2.0,Car
286,595.94,180.28,618.0,204.35,3798.0,1.0,0.7191198253150424,1.0,Car
287,570.07,178.33,597.0,205.0,2486.0,0.0,0.6956810175562262,2.0,Car
288,0.0,215.0,67.0,315.0,2486.0,1.0,0.5425648260503159,8.0,Car
289,94.0,191.9,212.0,270.93,2486.0,2.0,0.5980080297215032,12.0,Van
290,260.0,192.05,386.0,274.0,2486.0,3.0,0.5873523428053049,4.0,Car
291,320.85,182.25,403.82,231.7,2486.0,4.0,0.45903630566122144,5.0,Car
293,439.0,145.48,499.0,228.1,2486.0,6.0,0.6847306717736651,11.0,Van
294,501.0,183.67,531.0,208.0,2486.0,7.0,0.6012088424402867,7.0,Car
295,203.1,187.0,257.0,234.09,2486.0,8.0,0.21308087633993494,3.0,Car
297,523.76,182.06,561.0,215.25,3940.0,0.0,0.7126985046828669,1.0,Car
299,585.0,175.73,615.0,212.0,2492.0,0.0,0.6966488826247482,6.0,Car
300,432.0,157.0,527.93,237.32,2492.0,1.0,0.7560731777719142,3.0,Van
301,9.0,8.0,422.0,375.0,2492.0,2.0,0.9461995733171857,4.0,Truck
302,396.69,167.66,430.0,213.0,2492.0,3.0,0.22482005617511544,1.0,Car
303,519.0,131.0,565.0,207.0,2492.0,4.0,0.7457537366720519,5.0,Truck
304,374.71,155.77,419.0,298.0,3954.0,0.0,0.7903019722488055,1.0,Pedestrian
305,595.62,181.33,661.35,238.0,285.0,0.0,0.7572022936592655,2.0,Car
306,837.5,168.67,1050.0,310.0,285.0,1.0,0.836676748329952,1.0,Car
307,719.0,178.58,826.0,233.0,285.0,2.0,0.8804692933056539,10.0,Car
308,681.0,180.56,771.35,220.77,285.0,3.0,0.757669641447172,9.0,Car
309,359.0,183.81,442.0,241.0,285.0,4.0,0.7814041108061998,7.0,Car
310,484.19,180.78,531.0,209.0,285.0,5.0,0.697037862075196,6.0,Car
311,187.0,191.99,308.0,251.0,285.0,6.0,0.6760013266277869,11.0,Car
312,285.0,180.38,364.0,229.0,285.0,7.0,0.768250407493859,12.0,Car
313,555.46,180.3,580.0,196.0,285.0,8.0,0.39190702901437174,3.0,Car
316,4.0,188.86,114.0,251.89,285.0,11.0,0.7505660504078394,5.0,Car
318,677.0,176.86,685.15,191.86,285.0,13.0,0.05004093327875547,8.0,Car
319,929.66,184.48,1235.0,374.0,1825.0,0.0,0.8579509532518736,10.0,Car
320,710.0,64.0,1002.2,313.0,1825.0,1.0,0.8400339069919309,2.0,Van
321,682.59,171.0,711.0,228.0,1825.0,2.0,0.18309668151977526,4.0,Car
322,676.0,177.2,733.95,228.92,1825.0,3.0,0.6377069618748701,9.0,Car
323,635.0,179.74,670.0,212.0,1825.0,4.0,0.6225439535549452,5.0,Car
325,467.01,186.58,506.57,213.0,1825.0,6.0,0.59858544465897,11.0,Car
326,619.0,175.98,648.61,208.0,1825.0,7.0,0.5422399236378624,7.0,Car
327,574.0,181.18,606.0,203.0,1825.0,8.0,0.7466210436270315,6.0,Car
331,429.0,183.29,539.11,268.0,6192.0,1.0,0.8146003248823175,3.0,Car
332,792.0,213.0,1048.0,371.0,6192.0,2.0,0.8819873206603523,5.0,Car
333,706.42,197.0,809.0,283.0,6192.0,3.0,0.6441689887222746,2.0,Car
334,666.5,190.08,744.0,258.0,6192.0,4.0,0.8279269619877742,4.0,Car
336,654.49,187.58,704.0,236.0,6192.0,6.0,0.6708405882820095,1.0,Car
337,641.0,187.0,678.0,218.0,6192.0,7.0,0.6046640208354455,6.0,Car
340,572.0,181.94,594.0,208.0,6192.0,10.0,0.6943213206492435,9.0,Car
342,644.71,145.44,730.0,222.0,4785.0,0.0,0.7926251246996068,3.0,Van
345,585.0,180.27,613.2,206.94,4975.0,0.0,0.7233510666844409,4.0,Car
346,1131.0,194.82,1239.0,361.0,4975.0,1.0,0.7992035644344322,2.0,Car
347,900.0,181.11,1024.0,265.0,4975.0,2.0,0.7221416110121883,1.0,Car
350,678.74,176.45,771.0,214.22,4975.0,5.0,0.5890742825288449,3.0,Car
352,437.34,159.0,503.0,309.5,6804.0,0.0,0.7321318271893191,1.0,Pedestrian
353,590.0,177.47,615.0,206.0,6810.0,0.0,0.6627436332010155,4.0,Car
354,1009.0,193.9,1231.0,342.0,6810.0,1.0,0.69216655508519,7.0,Car
355,814.95,163.55,839.0,252.0,6810.0,2.0,0.7306842759073374,11.0,Pedestrian
356,698.0,179.0,789.0,249.0,6810.0,3.0,0.747257158579876,8.0,Car
357,664.0,176.38,728.58,233.22,6810.0,4.0,0.732186460481254,3.0,Car
358,642.14,172.26,676.0,198.0,6810.0,5.0,0.5850370694164159,6.0,Car
359,252.0,196.0,340.0,258.0,6810.0,6.0,0.6282025477458981,9.0,Car
360,314.24,191.0,384.0,238.6,6810.0,7.0,0.6514628532827405,2.0,Car
361,398.0,184.38,446.0,220.0,6810.0,8.0,0.7051198723578629,1.0,Car
362,581.6,176.24,636.0,229.0,3968.0,0.0,0.7697123361909055,6.0,Car
363,667.0,178.58,703.25,201.0,3968.0,1.0,0.4951576328208679,2.0,Car
364,846.36,159.74,869.34,185.0,3968.0,2.0,0.523394165105433,5.0,Car
365,901.0,171.09,949.0,195.0,3968.0,3.0,0.6638103295939056,3.0,Car
366,947.0,162.18,987.0,193.0,3968.0,4.0,0.5189618069704557,1.0,Car
369,0.0,150.0,370.95,365.0,4961.0,0.0,0.8561238717640084,2.0,Car
371,489.0,180.61,580.0,239.0,4961.0,2.0,0.8226258371416074,3.0,Car
372,563.0,176.88,616.0,223.6,4961.0,3.0,0.6845903472584096,4.0,Car
373,617.0,176.46,662.0,211.93,4961.0,4.0,0.710177217947321,1.0,Car
375,523.0,158.2,588.0,303.63,1819.0,0.0,0.7517716671037248,1.0,Pedestrian
376,643.96,171.95,675.0,194.0,6421.0,0.0,0.4735901094873364,5.0,Car
377,674.0,178.8,722.19,210.0,6421.0,1.0,0.6787667432971847,6.0,Car
378,654.0,147.74,696.39,191.56,6421.0,2.0,0.6556577467111392,4.0,Van
379,767.33,176.46,842.0,218.96,6421.0,3.0,0.7841452415957294,7.0,Car
384,684.0,170.98,803.44,251.0,50.0,0.0,0.8108546050709426,1.0,Car
385,262.97,182.23,468.0,318.0,50.0,1.0,0.9245396565603845,5.0,Car
386,922.0,161.0,1230.0,374.0,50.0,2.0,0.9220346053203423,2.0,Car
387,641.55,172.79,681.44,203.0,50.0,3.0,0.7133848685984548,3.0,Car
388,683.63,158.0,694.0,183.67,50.0,4.0,0.15815505151635473,4.0,Car
389,732.94,200.0,889.0,278.0,3559.0,0.0,0.7133950751694844,2.0,Car
390,668.0,171.16,720.97,221.0,3559.0,1.0,0.7660311994612772,1.0,Car
392,735.83,170.97,755.36,188.0,4236.0,0.0,0.568199177621491,5.0,Car
393,684.0,171.45,710.38,189.0,4236.0,1.0,0.6624178468175639,3.0,Car
394,77.09,189.48,189.0,256.13,4236.0,2.0,0.6822106261317221,7.0,Car
395,326.0,170.0,564.0,309.0,4236.0,3.0,0.8714907491515146,2.0,Car
401,10.0,183.38,367.74,374.0,5128.0,0.0,0.9230131862122736,2.0,Car
402,805.09,212.0,1230.0,374.0,5128.0,1.0,0.8786179305701112,1.0,Car
403,691.0,190.0,796.62,265.0,5128.0,2.0,0.8823115071197076,4.0,Car
404,409.23,187.34,507.0,259.0,5128.0,3.0,0.8864300183930923,5.0,Car
405,667.33,184.89,736.59,236.16,5128.0,4.0,0.6070017435897436,6.0,Car
406,655.92,182.04,712.56,224.43,5128.0,5.0,0.7526550470219436,3.0,Car
407,407.26,199.0,595.0,282.0,2647.0,0.0,0.7340352346258574,1.0,Car
408,309.0,196.0,430.0,280.0,2647.0,1.0,0.4485642330079884,6.0,Car
409,126.0,195.1,275.0,264.0,2647.0,2.0,0.5779268078083489,2.0,Car
410,4.0,185.04,117.0,265.27,2647.0,3.0,0.6527009437032215,4.0,Car
411,690.0,100.46,893.0,250.0,2121.0,0.0,0.8264221890642535,4.0,Truck
412,282.72,188.64,348.0,220.12,2121.0,1.0,0.6836386165886094,5.0,Car
414,266.55,144.46,425.37,263.0,4550.0,0.0,0.7923096302136163,3.0,Van
421,18.0,213.21,353.21,374.0,736.0,1.0,0.7920388192720023,6.0,Car
422,719.0,183.49,863.0,294.66,736.0,2.0,0.7902475554942209,9.0,Car
423,350.0,184.3,473.88,257.0,736.0,3.0,0.7533989458024966,7.0,Car
424,469.0,183.89,520.0,219.0,736.0,4.0,0.7453819959408425,5.0,Car
427,521.0,184.96,544.82,207.0,736.0,7.0,0.42269839379653906,4.0,Car
429,663.0,175.32,711.0,221.0,736.0,9.0,0.6974713102322255,1.0,Car
431,255.0,168.0,459.0,326.0,7059.0,0.0,0.8799834063392122,2.0,Car
433,446.0,185.03,537.78,251.0,7059.0,2.0,0.8464379896621976,3.0,Car
434,637.65,176.73,679.0,207.0,7059.0,3.0,0.7543654480820998,5.0,Car
435,560.0,169.57,585.33,191.0,7059.0,4.0,0.37536422448890044,1.0,Van
437,807.0,182.0,1037.0,342.0,6347.0,0.0,0.7458843066716134,1.0,Car
439,189.0,165.34,209.0,195.0,1428.0,0.0,0.6448849491332325,5.0,Car
440,446.0,161.1,476.0,272.0,1428.0,1.0,0.5993537788093792,4.0,Pedestrian
441,398.0,150.0,433.0,276.0,1428.0,2.0,0.7050344721089555,1.0,Pedestrian
442,537.0,154.4,575.0,279.0,1428.0,3.0,0.7165210755909313,2.0,Pedestrian
449,829.0,158.75,855.83,233.88,722.0,0.0,0.5789841356102017,4.0,Cyclist
450,848.52,165.0,853.0,220.88,722.0,1.0,0.1164053747390393,8.0,Cyclist
451,874.29,173.0,895.92,212.0,722.0,2.0,0.5421821951215747,6.0,Car
458,800.0,164.92,932.0,217.0,6353.0,0.0,0.9636397214587569,1.0,Car
459,648.71,164.71,677.82,185.0,6353.0,1.0,0.5187591556998814,2.0,Car
460,0.0,196.22,148.0,341.0,2135.0,0.0,0.8608039325032375,6.0,Car
461,99.0,193.0,324.0,301.0,2135.0,1.0,0.6458627488820143,1.0,Car
462,206.0,196.0,403.84,282.0,2135.0,2.0,0.6557717234327356,9.0,Car
463,282.0,179.0,407.0,264.0,2135.0,3.0,0.6525686974115232,10.0,Car
466,341.0,180.73,449.0,234.06,2135.0,6.0,0.6366658203050947,4.0,Car
468,395.17,176.32,483.0,219.93,2135.0,8.0,0.6854650039503662,8.0,Car
471,706.0,186.78,810.0,263.0,2135.0,11.0,0.8824486467116187,2.0,Car
472,786.0,175.21,913.0,240.62,2135.0,12.0,0.7568662851037063,3.0,Car
473,696.69,174.94,769.0,213.07,2135.0,13.0,0.5725906625146825,14.0,Car
474,636.66,181.02,666.08,199.0,2135.0,14.0,0.49033324242987797,12.0,Car
477,515.0,171.83,564.0,214.16,4544.0,0.0,0.6652262950291462,3.0,Car
478,547.61,171.0,570.0,196.0,4544.0,1.0,0.44153653926855174,1.0,Car
479,618.0,169.0,639.0,194.0,4544.0,2.0,0.5408412399171743,2.0,Car
480,6.0,187.59,273.0,356.37,4544.0,3.0,0.7530729767320744,6.0,Car
481,577.18,166.25,598.0,189.87,4544.0,4.0,0.6354335775477786,4.0,Car
482,8.0,193.0,114.0,252.0,5882.0,0.0,0.6235892216182647,7.0,Car
483,287.16,185.21,355.0,222.0,5882.0,1.0,0.8051617405505583,9.0,Car
484,383.0,143.11,496.18,210.39,5882.0,2.0,0.8659056120801281,5.0,Tram
485,743.0,166.73,759.0,198.0,5882.0,3.0,0.5905816672269673,6.0,Cyclist
487,0.0,202.16,218.0,351.0,4222.0,0.0,0.7412343011601144,3.0,Car
489,446.0,182.73,522.0,228.0,4222.0,2.0,0.6991139541602558,1.0,Car
490,690.23,176.31,740.0,222.79,4222.0,3.0,0.6644520845090616,2.0,Car
491,647.0,171.13,678.74,189.0,4222.0,4.0,0.6025147831252387,4.0,Car
492,413.64,163.34,472.0,216.0,2653.0,0.0,0.7338092306064239,4.0,Car
493,575.26,184.7,591.0,197.96,2653.0,1.0,0.4558848905526257,2.0,Car
495,802.5,166.15,940.0,223.0,6435.0,0.0,0.8400409622430317,2.0,Car
496,636.74,167.98,667.45,185.0,6435.0,1.0,0.4079193214677025,3.0,Car
497,18.0,203.44,365.5,374.0,44.0,0.0,0.805336371176291,1.0,Car
498,378.01,183.98,507.17,276.44,44.0,1.0,0.82229109688081,2.0,Car
501,791.58,200.0,1235.0,374.0,3565.0,1.0,0.897147469584203,5.0,Car
